x,vx,z,vz,phi,w,value,d1,d2,d3,d4,d5,d6,d7,d8
1.354229056,1.915501354,7.299996183,6.025142268,0.273987705,-0.411970548,772.9685002,0.8557247519493103,1.154731035232544,2.0337791442871094,1.9167383909225464,2.113872528076172,2.8424134254455566,3.5882723331451416,3.376802921295166
1.450004124,1.897599608,7.601253297,5.478724549,0.253389178,-0.394261113,784.3345117,0.9667961001396179,2.21274733543396,1.7191907167434692,1.5975488424301147,1.7510459423065186,2.320399522781372,3.4972450733184814,3.263643503189087
1.544884105,1.879012321,7.875189524,4.934647289,0.233676122,-0.389438217,791.6861356,1.0186553001403809,2.0300095081329346,1.5614447593688965,1.453627347946167,1.5763474702835083,2.080338716506958,3.4478893280029297,3.21020770072937
1.638834721,1.860572919,8.121921888,4.395808065,0.214204211,-0.385123159,795.0351619,1.1259009838104248,1.7151950597763062,1.3059748411178589,1.2024824619293213,1.2939910888671875,1.6747829914093018,3.058197021484375,3.099062204360962
1.731863367,1.842306731,8.341712292,3.862255872,0.194948053,-0.380912223,798.5724125,2.9222240447998047,1.5187997817993164,1.1471503973007202,1.0485824346542358,1.1234341859817505,1.4457751512527466,2.5819568634033203,3.0335025787353516
1.823978703,1.824217313,8.534825085,3.33396148,0.175902442,-0.376723209,802.291901,2.544308662414551,1.2744660377502441,0.9517615437507629,0.862675666809082,0.9129530191421509,1.1639093160629272,2.0167031288146973,2.9259772300720215
1.915189569,1.806304786,8.701523159,2.810884506,0.157066282,-0.372523226,781.4662865,2.2859201431274414,1.1089234352111816,0.8241878151893616,0.7317953705787659,0.7688661217689514,0.9716181755065918,1.6415345668792725,2.8417129516601562
2.005504808,1.78856763,8.842067385,2.292978747,0.13844012,-0.368313027,765.5880013,2.0707690715789795,0.971571147441864,0.7138040065765381,0.6256566047668457,0.6548526883125305,0.8132931590080261,1.3617242574691772,2.7591583728790283
2.09493319,1.771003235,8.956716322,1.780192553,0.120024469,-0.364132406,822.105143,1.9189972877502441,0.8662786483764648,0.6248056888580322,0.5498001575469971,0.5677551627159119,0.700592577457428,1.1507644653320312,2.6789205074310303
2.183483351,1.753607437,9.04572595,1.272461641,0.101817849,-0.360059244,833.1665594,1.8346072435379028,0.8114848732948303,0.5627309679985046,0.4975892901420593,0.5079163908958435,0.6297986507415771,1.0047413110733032,2.597684383392334
2.271163723,1.736375905,9.109349032,0.769711768,0.083814887,-0.356223371,843.9006352,1.8807637691497803,0.7743629217147827,0.544593095779419,0.47131606936454773,0.46794047951698303,0.5772104263305664,0.9104291200637817,2.5070247650146484
2.357982519,1.719579127,9.14783462,0.275118882,0.066003718,-0.338949679,854.3217072,1.9606831073760986,0.782010555267334,0.5360890626907349,0.46078988909721375,0.47717827558517456,0.5708428621292114,0.881389319896698,2.4348857402801514
2.443961475,1.706233198,9.161590564,-0.163956843,0.049056234,-0.322508072,864.5401301,2.250427484512329,0.8421879410743713,0.5752971768379211,0.4902183711528778,0.49697306752204895,0.5965654253959656,0.9129749536514282,2.3541862964630127
2.529273135,1.699137552,9.153392722,-0.455318941,0.032930831,-0.31072616,878.7115291,2.4765374660491943,0.9010342955589294,0.613959550857544,0.5103285312652588,0.5100347399711609,0.6138986349105835,0.9254655241966248,2.2974493503570557
2.614230012,1.693124211,9.130626775,-0.616200576,0.017394523,-0.292121757,900.4346731,2.62481689453125,0.9241166114807129,0.6182589530944824,0.522830069065094,0.5211649537086487,0.6223681569099426,0.9269910454750061,2.2412760257720947
2.698886223,1.683941046,9.099816746,-0.670543341,0.002788435,-0.268487341,922.0849298,3.2323079109191895,1.0605864524841309,0.7022343277931213,0.5873656868934631,0.5909525156021118,0.6808887124061584,1.0120915174484253,2.1309871673583984
2.783083275,1.668787845,9.066289579,-0.644710653,-0.010635932,-0.243453643,943.6347801,3.6449098587036133,1.1452362537384033,0.7507444620132446,0.6268097162246704,0.6206729412078857,0.7122389078140259,1.0517218112945557,2.0502254962921143
2.866522668,1.6463607,9.034054046,-0.564572526,-0.022808615,-0.219426116,965.1007458,3.790510892868042,1.1575838327407837,0.7525635957717896,0.625187873840332,0.620496928691864,0.7132030129432678,1.0447502136230469,2.012568473815918
2.948840703,1.616553255,9.00582542,-0.453205405,-0.03377992,-0.197121517,986.5139914,4.318549633026123,1.2432392835617065,0.7927335500717163,0.6627851724624634,0.6476401090621948,0.7490565776824951,1.083069920539856,1.9119622707366943
3.029668365,1.58003252,8.98316515,-0.329341378,-0.043635996,-0.176251372,1000.0,4.963840961456299,1.3382517099380493,0.8542117476463318,0.7038529515266418,0.6785218715667725,0.790785551071167,1.1184678077697754,1.8075201511383057
3.108669991,1.537871305,8.966698081,-0.207162036,-0.052448565,-0.156315939,1000.0,4.910953521728516,1.3045752048492432,0.8391510844230652,0.6865715980529785,0.6674631834030151,0.7578839659690857,1.09615159034729,1.791169285774231
3.185563557,1.49130061,8.956339979,-0.096832762,-0.060264362,-0.13703127,1000.0,5.4392499923706055,1.3704438209533691,0.8564763069152832,0.7095600366592407,0.6822154521942139,0.7673431038856506,1.108279824256897,1.6822476387023926
3.260128587,1.44151427,8.951498341,-0.004516733,-0.067115925,-0.118435785,1000.0,5.806378364562988,1.4028258323669434,0.8756737112998962,0.710563600063324,0.6878182888031006,0.7865577936172485,1.1029703617095947,1.6032599210739136
3.332204301,1.389571037,8.951272504,0.066711609,-0.073037714,-0.100784349,1000.0,5.979212284088135,1.3946995735168457,0.8722726106643677,0.7087560892105103,0.6828212738037109,0.7790498733520508,1.0871466398239136,1.5251286029815674
3.401682852,1.336331914,8.954608085,0.116251102,-0.078076932,-0.084367438,1000.0,5.910736560821533,1.366811990737915,0.841580867767334,0.6877063512802124,0.6638322472572327,0.751286506652832,1.0564833879470825,1.4869855642318726
3.468499448,1.282424583,8.96042064,0.145515511,-0.082295304,-0.069388597,1000.0,6.215508937835693,1.3845728635787964,0.8482287526130676,0.690561056137085,0.6696019768714905,0.7552378177642822,1.0585803985595703,1.3995888233184814
3.532620677,1.228272325,8.967696416,0.157082636,-0.085764734,-0.055902047,1000.0,6.097848415374756,1.3443602323532104,0.8255407214164734,0.6720738410949707,0.6453379988670349,0.732322096824646,1.0248521566390991,1.3580429553985596
